"Comprobante Nro","Empresa","Glosa","Cliente - Proyeccto","Emisión","Forma de pago","Moneda","SubTotal","Monto a depositar","Detracción","Pago","Cliente","Expediente","Attachments","ID","Estado"
"F0A1-","iLabs","Servicio de Sistema de Automatización de Plazos con Microsoft .Net y RPA - SATI - Hito 3 FIN","SATEL - SATI Fase 1","15/08/2025","30 días","Dólares","18,800.00","19,521.92","2,662.08",,"SERVICIOS AUXILIARES DE TELECOMUNICACION DEL PERU S.A.C.",,"0","464","Proyectado a facturar"
"F0A1-","iBit","UTP - Portal Docente - FInal del proyecto","UTP - Portal docente 2.0","15/08/2025","30 días","Dólares","9,100.00","9,449.44","1,288.56",,"UNIVERSIDAD TECNOLOGICA DEL PERU S.A.C. O UTP S.A.C.",,"0","418","Proyectado a facturar"
"F0A1-","iBit","Bolsa 43 horas - Proceso de Migración OC Nr y DOcs Pago","UTP - Bolsa 18 horas - Proceso de Migración OC Nr y DOcs Pago","22/08/2025","30 días","Dólares","1,247.00","1,294.88","176.58",,"UNIVERSIDAD TECNOLOGICA DEL PERU S.A.C. O UTP S.A.C.",,"0","511","Proyectado a facturar"
"F0A1-","iBit","Los Portales - Migración de CRM Dynamics a SharePoint - Hito 2","Los Portales - Migración de CRM Dynamics a SharePoint","25/08/2025","30 días","Dólares","950.00","986.48","134.52",,"LOS PORTALES S.A.",,"0","510","Proyectado a facturar"
"F0A1-","iBit","Servicio - Adecuaciones a Sistema A3Kaizen para Soporte Versión Trial - 20%","Global Lean - Adecuación Sistema A3Kaizen para Soporte Versión Trial","1/09/2025","30 días","Dólares","737.10","765.40","104.37",,"GLOBAL LEAN S.L.",,"0","497","Proyectado a facturar"
"F0A1-","iBit","KMMP - SIM Fase 2.2 - 25% al término de Desarrollo - Hito 2","KMMP - SIM Fase 2.2 Jul 2025","1/09/2025","30 días","Dólares","2,000.88","2,077.71","283.32",,"KOMATSU-MITSUI MAQUINARIAS PERU S.A.",,"0","493","Proyectado a facturar"
"F0A1-","iBit","Hito 4 - 30% de $2360","Khipu - Cashflow Fase 1","2/09/2025","30 días","Dólares","708.00","735.19","100.25",,"Khipu Travel",,"0","461","Proyectado a facturar"
"F0A1-","iBit","Servicio - Adecuaciones a Sistema A3Kaizen para Soporte Versión Trial - 50% Final","Global Lean - Adecuación Sistema A3Kaizen para Soporte Versión Trial","4/09/2025","30 días","Dólares","1,848.00","1,918.96","261.68",,"GLOBAL LEAN S.L.",,"0","496","Proyectado a facturar"
"F0A1-","iBit","KMMP - SIM Fase 2.2 - 25% al cierre de pruebas - Hito 3","KMMP - SIM Fase 2.2 Jul 2025","12/09/2025","30 días","Dólares","2,000.88","2,077.71","283.32",,"KOMATSU-MITSUI MAQUINARIAS PERU S.A.",,"0","494","Proyectado a facturar"
"F0A1-","iBit","Hito 4 - Fase Marcha Blanca","KMMP - SMR","15/09/2025","45 días","Dólares","12,008.08","12,469.19","1,700.34",,"KOMATSU-MITSUI MAQUINARIAS PERU S.A.",,"0","444","Proyectado a facturar"
"F0A1-0XX","iBit","Bolsa de 440 horas para el desarrollo de mejoras - Hito 3 - OC 41963-2023","UTP - Upgrade Portal de proveedores CC4 29Oct2023","8/10/2025","30 días","Dólares","3,520.00","3,655.17","498.43",,"UNIVERSIDAD TECNOLOGICA DEL PERU S.A.C. O UTP S.A.C.",,"0","446","Proyectado a facturar"
"F0A1-","iBit","KMMP - SIM Fase 2.2 - 25% al Cierre del Proyecto - Hito 4","KMMP - SIM Fase 2.2 Jul 2025","13/10/2025","30 días","Dólares","1,600.70","1,662.17","226.66",,"KOMATSU-MITSUI MAQUINARIAS PERU S.A.",,"0","495","Proyectado a facturar"
"F0A1-","iBit","Layher - Implementación de ECommerce en Microsoft.Net - LayherShop - Hito 2 al inicio de integración con Niubiz","Layher - LayherShop ","20/10/2025","30 días","Dólares","6,600.00","6,853.44","934.56",,"LAYHER PERU SAC",,"0","506","Proyectado a facturar"
"F0A1-","iBit","Layher - Implementación de ECommerce en Microsoft.Net - LayherShop  - Hito 3 - Cierre del Proyecto","Layher - LayherShop ","11/11/2025","30 días","Dólares","8,800.00","9,137.92","1,246.08",,"LAYHER PERU SAC",,"0","507","Proyectado a facturar"
"E001-","iBit","A demanda - Todavía no hay acciones de cobranza","Bago - Horas de Consultoría","7/01/2026","30 días","Dólares","7,200.00","7,476.48","1,019.52",,"LABORATORIOS BAGO DEL PERU S.A",,"0","373","Proyectado a facturar"
"F0A1-","iLabs","Servicio de desarrollo de reportes - Mes 4","Coolbox - Servicio de desarrollo de reportes","10/04/2025","30 días","Soles","0.00","0.00","0.00",,"Rash Peru S.R.L",,"0","450","Proyectado a facturar"
"F0A1-","iLabs","Servicio de desarrollo de reportes - Mes 5","Coolbox - Servicio de desarrollo de reportes","12/05/2025","30 días","Soles","0.00","0.00","0.00",,"Rash Peru S.R.L",,"0","451","Proyectado a facturar"
"F0A1-","iLabs","Servicio de desarrollo de reportes - Mes 6","Coolbox - Servicio de desarrollo de reportes","9/06/2025","30 días","Soles","0.00","0.00","0.00",,"Rash Peru S.R.L",,"0","452","Proyectado a facturar"
"F0A1-","iBit"," Layher - Servicios de datos de personas naturales y jurídicas desde el 15 de Julio 2025 al 14 de Julio 2026","Layher - Servicios de datos de personas naturales y jurídicas","15/07/2025","30 días","Soles","2,400.00","2,492.16","339.84",,"LAYHER PERU SAC",,"0","508","Proyectado a facturar"
